om,yr,mo,dy,date,time,slat,slon
640864,2019,1,4,1/4/19,16:29:00,37.35,-84.35
640865,2019,1,8,1/8/19,7:12:00,41.11,-82.45
640866,2019,1,8,1/8/19,9:46:00,41.41,-80.48
640867,2019,1,8,1/8/19,9:52:00,41.42,-80.4
640868,2019,1,8,1/8/19,10:08:00,41.41,-80.25
640869,2019,1,8,1/8/19,13:30:00,41.4309,-83.2048
640870,2019,1,8,1/8/19,13:49:00,41.2347,-82.8595
640871,2019,1,8,1/8/19,13:50:00,41.27,-82.86
640872,2019,1,8,1/8/19,14:20:00,41.37,-82.12
640873,2019,1,8,1/8/19,14:24:00,40.9775,-81.4511
640874,2019,1,8,1/8/19,14:26:00,41.58,-81.49
640875,2019,1,8,1/8/19,14:30:00,41.24,-82.12
640876,2019,1,8,1/8/19,14:44:00,41.5985,-81.4183
640877,2019,1,8,1/8/19,14:46:00,41.3977,-81.8036
640878,2019,1,8,1/8/19,14:50:00,41.6,-81.24
640879,2019,1,8,1/8/19,14:51:00,41.3,-81.86
640880,2019,1,8,1/8/19,15:08:00,40.8,-81.52
640881,2019,1,8,1/8/19,15:10:00,41.48,-81.5
640882,2019,1,8,1/8/19,15:24:00,41.77,-80.1
640883,2019,1,8,1/8/19,15:41:00,41.3,-79.25
640884,2019,1,8,1/8/19,16:39:00,41.35,-79.27
640885,2019,1,19,1/19/19,0:10:00,33.552,-94.7791
640886,2019,1,19,1/19/19,0:38:00,33.7214,-94.3924
640887,2019,1,19,1/19/19,5:43:00,32.58,-90.13
640888,2019,1,19,1/19/19,8:40:00,30.48,-90.87
640889,2019,1,20,1/20/19,20:05:00,37.67,-121.8434
640890,2019,1,20,1/20/19,22:50:00,37.4655,-122.27
640891,2019,2,2,2/2/19,17:45:00,39.24,-121.99
640892,2019,2,3,2/3/19,19:40:00,37.2202,-119.9062
640893,2019,2,4,2/4/19,10:35:00,40.89,-124.08
640894,2019,2,4,2/4/19,12:35:00,40.87,-124.12
640895,2019,2,4,2/4/19,15:25:00,40.72,-124.21
640896,2019,2,4,2/4/19,16:43:00,41.42,-124
640897,2019,2,6,2/6/19,18:55:00,35.51,-98.97
640898,2019,2,6,2/6/19,19:53:00,35.84,-98.28
640899,2019,2,6,2/6/19,20:45:00,38.14,-93.81
640900,2019,2,6,2/6/19,20:45:00,38.02,-94.11
640901,2019,2,6,2/6/19,21:07:00,38.38,-93.77
640902,2019,2,6,2/6/19,21:25:00,38.46,-93.62
640903,2019,2,6,2/6/19,21:28:00,38.53,-93.52
640904,2019,2,6,2/6/19,21:45:00,38.59,-93.86
640905,2019,2,6,2/6/19,21:55:00,37.22,-94.96
640906,2019,2,6,2/6/19,22:19:00,37.12,-93.44
640907,2019,2,6,2/6/19,22:20:00,37.11,-93.47
640908,2019,2,6,2/6/19,22:30:00,37.13,-93.42
640909,2019,2,6,2/6/19,22:40:00,37.33,-93.28
640910,2019,2,6,2/6/19,23:00:00,37.68,-92.81
640911,2019,2,6,2/6/19,23:00:00,36.75,-94.09
640912,2019,2,6,2/6/19,23:06:00,36.92,-94.08
640913,2019,2,6,2/6/19,23:50:00,36.88,-93.34
640914,2019,2,6,2/6/19,23:55:00,36.92,-93.28
640915,2019,2,6,2/6/19,23:55:00,37.39,-93.08
640916,2019,2,7,2/7/19,2:10:00,33.57,-97.85
640917,2019,2,7,2/7/19,3:58:00,32.97,-97.35
640918,2019,2,7,2/7/19,4:00:00,32.9916,-97.2913
640919,2019,2,7,2/7/19,4:05:00,33.02,-97.18
640920,2019,2,7,2/7/19,7:04:00,35.58,-92.45
640921,2019,2,7,2/7/19,8:44:00,37.62,-89.72
640922,2019,2,9,2/9/19,21:40:00,40.93,-124.11
640923,2019,2,10,2/10/19,12:45:00,36.57,-121.95
640924,2019,2,12,2/12/19,16:30:00,34.09,-81.18
640925,2019,2,15,2/15/19,9:20:00,40.84,-124.17
640926,2019,2,15,2/15/19,9:38:00,40.93,-124.12
640927,2019,2,15,2/15/19,10:07:00,38.5602,-122.8331
640928,2019,2,15,2/15/19,12:35:00,38.42,-122.95
640929,2019,2,15,2/15/19,12:50:00,37.0573,-121.8115
640930,2019,2,15,2/15/19,13:44:00,37.3734,-121.88
640931,2019,2,17,2/17/19,14:30:00,36.48,-121.73
640932,2019,2,17,2/17/19,18:20:00,35.4,-119.47
640933,2019,2,17,2/17/19,19:50:00,37.9308,-122.0601
640934,2019,2,19,2/19/19,5:17:00,31.64,-89.56
640935,2019,2,19,2/19/19,17:15:00,33.5067,-87.3235
640936,2019,2,19,2/19/19,17:30:00,34.8,-86.97
640937,2019,2,19,2/19/19,17:30:00,33.5607,-87.1072
640938,2019,2,19,2/19/19,17:40:00,34.8,-86.99
640939,2019,2,19,2/19/19,17:42:00,33.78,-86.82
640940,2019,2,19,2/19/19,17:45:00,34.99,-86.85
640941,2019,2,19,2/19/19,18:00:00,33.99,-86.58
640942,2019,2,19,2/19/19,18:25:00,34.17,-86.12
640943,2019,2,21,2/21/19,0:30:00,31.19,-91.02
640944,2019,2,23,2/23/19,8:54:00,37.3,-93.43
640945,2019,2,23,2/23/19,9:03:00,37.37,-93.37
640946,2019,2,23,2/23/19,15:43:00,33.1,-89.51
640947,2019,2,23,2/23/19,15:55:00,32.4837,-89.8878
640948,2019,2,26,2/26/19,16:15:00,29.31,-96.34
640949,2019,2,26,2/26/19,18:52:00,30.71,-94.19
640950,2019,2,26,2/26/19,19:43:00,29.45,-95.07
640951,2019,2,26,2/26/19,20:10:00,29.44,-95.43
640952,2019,2,26,2/26/19,20:40:00,29.43,-95.25
640953,2019,2,26,2/26/19,20:45:00,30.51,-93.23
640954,2019,3,1,3/1/19,9:50:00,30.64,-83.84
640955,2019,3,1,3/1/19,12:33:00,30.34,-82.76
640956,2019,3,1,3/1/19,15:57:00,34.36,-83.03
640957,2019,3,1,3/1/19,18:30:00,34.2,-81.63
640958,2019,3,2,3/2/19,4:20:00,30.51,-85.31
640959,2019,3,2,3/2/19,4:50:00,30.47,-85.09
640960,2019,3,2,3/2/19,4:53:00,30.49,-85.06
640961,2019,3,2,3/2/19,14:32:00,29.62,-81.97
640962,2019,3,3,3/3/19,12:10:00,30.41,-91.44
640963,2019,3,3,3/3/19,13:55:00,31.7,-83.65
640964,2019,3,3,3/3/19,14:10:00,31.3776,-84.934
640965,2019,3,3,3/3/19,14:10:00,31.79,-83.51
640966,2019,3,3,3/3/19,14:20:00,32.45,-82.07
640967,2019,3,3,3/3/19,14:25:00,32.6966,-83.7755
640968,2019,3,3,3/3/19,14:30:00,32.7416,-83.6749
640969,2019,3,3,3/3/19,14:39:00,32.54,-81.93
640970,2019,3,3,3/3/19,15:04:00,31.72,-83.38
640971,2019,3,3,3/3/19,15:10:00,31.55,-83.55
640972,2019,3,3,3/3/19,15:10:00,31.56,-83.38
640973,2019,3,3,3/3/19,15:30:00,32.69,-81.48
640974,2019,3,3,3/3/19,15:34:00,31.4,-83.24
640975,2019,3,3,3/3/19,15:46:00,31.66,-82.91
640976,2019,3,3,3/3/19,15:50:00,31.7,-83.65
640977,2019,3,3,3/3/19,16:02:00,31.51,-82.85
640978,2019,3,3,3/3/19,16:02:00,31.55,-82.86
640979,2019,3,3,3/3/19,16:17:00,32.08,-82.1
640980,2019,3,3,3/3/19,17:16:00,32.98,-80.03
640981,2019,3,9,3/9/19,3:15:00,32.38,-98.97
640982,2019,3,9,3/9/19,3:42:00,37.08,-94.51
640983,2019,3,9,3/9/19,4:15:00,36.8512,-94.6661
640984,2019,3,9,3/9/19,4:51:00,32.8136,-97.4133
640985,2019,3,9,3/9/19,4:59:00,32.8,-97.27
640986,2019,3,9,3/9/19,5:00:00,32.9148,-97.2898
640987,2019,3,9,3/9/19,5:12:00,32.93,-97.08
640988,2019,3,9,3/9/19,5:14:00,33.23,-96.82
640989,2019,3,9,3/9/19,5:15:00,32.8724,-97.3166
640990,2019,3,9,3/9/19,5:15:00,32.9656,-96.9746
640991,2019,3,9,3/9/19,5:19:00,33.0143,-97.0974
640992,2019,3,9,3/9/19,5:30:00,33.03,-96.88
640993,2019,3,9,3/9/19,5:34:00,33.1401,-96.6998
640994,2019,3,9,3/9/19,6:30:00,32.7397,-97.5668
640995,2019,3,9,3/9/19,6:57:00,32.23,-97.75
640996,2019,3,9,3/9/19,7:06:00,32.53,-97.32
640997,2019,3,9,3/9/19,7:07:00,32.2411,-97.7184
640998,2019,3,9,3/9/19,7:30:00,32.77,-96.78
640999,2019,3,9,3/9/19,7:32:00,32.58,-96.95
641000,2019,3,9,3/9/19,8:38:00,32.87,-95.75
641001,2019,3,9,3/9/19,8:58:00,32.27,-96.17
641002,2019,3,9,3/9/19,9:08:00,34.97,-89.82
641003,2019,3,9,3/9/19,9:45:00,32.3145,-95.62
641004,2019,3,9,3/9/19,10:09:00,37.7249,-88.9235
641005,2019,3,9,3/9/19,11:46:00,36.58,-86.52
641006,2019,3,9,3/9/19,15:30:00,35.1866,-88.25
641007,2019,3,9,3/9/19,17:51:00,33.31,-89.18
641008,2019,3,9,3/9/19,22:18:00,40.29,-84.16
641009,2019,3,10,3/10/19,19:15:00,37.33,-121.88
641010,2019,3,10,3/10/19,19:25:00,37.33,-121.88
641011,2019,3,10,3/10/19,19:35:00,37.3448,-121.9015
641012,2019,3,11,3/11/19,15:30:00,31.79,-83.59
641013,2019,3,11,3/11/19,15:30:00,31.72,-83.58
641014,2019,3,11,3/11/19,15:33:00,31.74,-83.54
641015,2019,3,11,3/11/19,15:42:00,30.98,-84.04
641016,2019,3,11,3/11/19,15:43:00,31.67,-83.48
641017,2019,3,11,3/11/19,15:50:00,31.7,-83.42
641018,2019,3,11,3/11/19,16:03:00,31.66,-83.37
641019,2019,3,11,3/11/19,16:10:00,31.62,-83.33
641020,2019,3,11,3/11/19,16:13:00,31.6,-83.25
641021,2019,3,11,3/11/19,16:15:00,31.59,-83.25
641022,2019,3,11,3/11/19,16:15:00,31.57,-83.31
641023,2019,3,12,3/12/19,15:25:00,32.8008,-105.9964
641024,2019,3,12,3/12/19,17:45:00,32.113,-104.5931
641025,2019,3,12,3/12/19,18:03:00,32.42,-104.23
641026,2019,3,12,3/12/19,18:11:00,32.28,-104.1
641027,2019,3,12,3/12/19,18:38:00,31.5125,-103.7503
641028,2019,3,12,3/12/19,18:44:00,34.47,-104.3453
641029,2019,3,12,3/12/19,18:45:00,31.6328,-103.9912
641030,2019,3,12,3/12/19,19:01:00,30.4255,-104.2955
641031,2019,3,12,3/12/19,19:15:00,31.53,-103.4866
641032,2019,3,12,3/12/19,19:16:00,31.5114,-103.472
641033,2019,3,12,3/12/19,19:16:00,32.6947,-103.3845
641034,2019,3,12,3/12/19,19:18:00,31.5125,-103.7503
641035,2019,3,12,3/12/19,19:40:00,31.7687,-103.4288
641036,2019,3,13,3/13/19,2:30:00,30.78,-99.63
641037,2019,3,14,3/14/19,1:40:00,32.2947,-95.2668
641038,2019,3,14,3/14/19,7:40:00,37.1767,-88.7439
641039,2019,3,14,3/14/19,10:22:00,37.98,-87.6602
641040,2019,3,14,3/14/19,10:25:00,37.6288,-87.9846
641041,2019,3,14,3/14/19,10:29:00,37.9902,-87.563
641042,2019,3,14,3/14/19,10:40:00,41.259,-88.43
641043,2019,3,14,3/14/19,10:47:00,40.42,-86.27
641044,2019,3,14,3/14/19,10:50:00,41.37,-88.42
641045,2019,3,14,3/14/19,10:52:00,37.5193,-87.9413
641046,2019,3,14,3/14/19,11:01:00,38.2506,-87.0904
641047,2019,3,14,3/14/19,11:07:00,41.4995,-88.2273
641048,2019,3,14,3/14/19,11:09:00,38.41,-87
641049,2019,3,14,3/14/19,12:05:00,40.88,-87.95
641050,2019,3,14,3/14/19,12:09:00,37.8666,-87.057
641051,2019,3,14,3/14/19,12:25:00,38.88,-86.05
641052,2019,3,14,3/14/19,12:43:00,41.47,-87.55
641053,2019,3,14,3/14/19,12:49:00,41.4941,-87.5216
641054,2019,3,14,3/14/19,12:53:00,41.58,-87.48
641055,2019,3,14,3/14/19,12:53:00,41.2391,-87.4745
641056,2019,3,14,3/14/19,13:01:00,33.45,-88.59
641057,2019,3,14,3/14/19,13:21:00,41.3779,-87.03
641058,2019,3,14,3/14/19,13:21:00,32.678,-89.172
641059,2019,3,14,3/14/19,13:35:00,41.43,-86.9
641060,2019,3,14,3/14/19,13:37:00,38.32,-86.16
641061,2019,3,14,3/14/19,13:40:00,38.32,-86.1
641062,2019,3,14,3/14/19,13:45:00,32.7848,-88.914
641063,2019,3,14,3/14/19,13:50:00,33.66,-88.11
641064,2019,3,14,3/14/19,13:54:00,41.65,-86.66
641065,2019,3,14,3/14/19,13:58:00,41.57,-86.7
641066,2019,3,14,3/14/19,13:59:00,41.71,-86.51
641067,2019,3,14,3/14/19,14:04:00,38.54,-85.67
641068,2019,3,14,3/14/19,14:05:00,42.1,-86.49
641069,2019,3,14,3/14/19,14:10:00,42.08,-86.5
641070,2019,3,14,3/14/19,14:10:00,42.08,-86.45
641071,2019,3,14,3/14/19,14:11:00,41.71,-86.53
641072,2019,3,14,3/14/19,14:12:00,33.7,-87.83
641073,2019,3,14,3/14/19,14:12:00,42.11,-86.48
641074,2019,3,14,3/14/19,14:14:00,32.3221,-89.342
641075,2019,3,14,3/14/19,14:14:00,41.47,-84.49
641076,2019,3,14,3/14/19,14:25:00,41.67,-84.33
641077,2019,3,14,3/14/19,14:26:00,41.58,-84.39
641078,2019,3,14,3/14/19,14:28:00,42.2,-86.22
641079,2019,3,14,3/14/19,14:35:00,41.89,-84.1
641080,2019,3,14,3/14/19,14:35:00,32.44,-89.11
641081,2019,3,14,3/14/19,14:46:00,33.51,-87.89
641082,2019,3,14,3/14/19,14:49:00,41.78,-86.14
641083,2019,3,14,3/14/19,14:50:00,33.51,-87.8
641084,2019,3,14,3/14/19,14:52:00,34.07,-87.23
641085,2019,3,14,3/14/19,14:55:00,39.02,-84.72
641086,2019,3,14,3/14/19,14:58:00,33.82,-87.28
641087,2019,3,14,3/14/19,15:03:00,33.57,-87.66
641088,2019,3,14,3/14/19,15:07:00,32.57,-88.68
641089,2019,3,14,3/14/19,15:10:00,33.54,-87.65
641090,2019,3,14,3/14/19,15:10:00,39.16,-84.52
641091,2019,3,14,3/14/19,15:34:00,33.63,-87.32
641092,2019,3,14,3/14/19,15:34:00,33.19,-87.73
641093,2019,3,14,3/14/19,15:43:00,33.51,-87.89
641094,2019,3,14,3/14/19,15:54:00,39.02,-84.72
641095,2019,3,14,3/14/19,16:02:00,42.56,-84.82
641096,2019,3,14,3/14/19,16:08:00,39.18,-84.43
641097,2019,3,14,3/14/19,16:10:00,39.19,-84.4
641098,2019,3,14,3/14/19,16:15:00,41.59,-85.14
641099,2019,3,14,3/14/19,16:20:00,41.65,-85.03
641100,2019,3,14,3/14/19,16:21:00,39.18,-84.29
641101,2019,3,14,3/14/19,16:25:00,38.36,-85.42
641102,2019,3,14,3/14/19,16:25:00,39.23,-84.16
641103,2019,3,14,3/14/19,16:26:00,39.01,-84.59
641104,2019,3,14,3/14/19,16:30:00,42.77,-84.41
641105,2019,3,14,3/14/19,16:30:00,38.41,-85.38
641106,2019,3,14,3/14/19,16:31:00,39.3,-84.09
641107,2019,3,14,3/14/19,16:38:00,39.09,-84.36
641108,2019,3,14,3/14/19,16:40:00,39.09,-84.31
641109,2019,3,14,3/14/19,16:40:00,39.35,-83.95
641110,2019,3,14,3/14/19,16:43:00,34.05,-87.55
