population_in_millions,year_of_population,country,city_name,lat,long,countrycode,continent
2.4,,Brazil,Brasilia,-15.78333333,-47.916667,BR,South America
6.7,,Colombia,Bogota,4.6,-74.083333,CO,South America
7.8,,Egypt,Cairo,30.05,31.25,EG,Africa
2.2,,France,Paris,48.86666667,2.333333,FR,Europe
3.8,,Iraq,Baghdad,33.33333333,44.4,IQ,Asia
10,,South Korea,Seoul,37.55,126.983333,KR,Asia
8.6,,Mexico,Mexico City,19.43333333,-99.133333,MX,Central America
1,,Nepal,Kathmandu,27.71666667,85.316667,NP,Asia
0.5,,Portugal,Lisbon,38.71666667,-9.133333,PT,Europe
0.65,,United States,Washington DC,38.883333,-77,US,Central America
0.12152,2021,United States,"Missoula, MT",46.8721,-113.994,US,Central America
1.3,,Uruguay,Montevideo,-34.85,-56.166667,UY,South America
